"","a","a2","p","p2","x.cor","x.cor2","y1","y2","y3","y4"
"1",1,1,1,1,-0.0695440964773297,0.00483638135484815,0.520482042999752,-2.8655839900527,-0.656255257513502,1.97088162472996
"2",2,4,1,1,-1.16536548035219,1.3580767027965,1.17726186785366,-0.30381005995894,-0.749591223354438,0.767585797592416
"3",3,9,1,1,-1.70759097766131,2.91586694699031,0.0101726166170084,-0.747605916123119,0.511751068426414,0.047737244412747
"4",4,16,1,1,-3.53666026564315,12.5079658345791,1.13832756261438,-2.41161643300258,-1.24869726623388,2.24885559740673
"5",5,25,1,1,-4.66728512430564,21.7835504315647,0.239619867032964,-2.47430543419513,-0.766966317941009,-0.144640128174748
"6",6,36,1,1,-4.99437168473378,24.9437485252705,0.980014481077421,-1.00861405078966,-3.20556600188315,1.38315093387125
"7",7,49,1,1,-6.73361738957465,45.3416031491821,-0.128159301370693,-1.37143349858321,-1.05568068606987,3.59739709428463
"8",8,64,1,1,-6.98091749567538,48.7332090814267,-1.35585184302638,-2.98303574882481,-2.38737079131572,1.0474356340164
"9",9,81,1,1,-8.41712240595371,70.8479495968079,-0.52883130801949,-2.80121622563359,-1.18050740052439,1.8948891628705
"10",10,100,1,1,-8.17939864564687,66.9025622044098,-0.889373454633506,-2.29880356329181,-1.91901480092939,3.36808812306329
"11",11,121,1,1,-9.60322739649564,92.2219764288044,-3.77436524244917,-6.17359976295438,0.484994153167777,1.60474285015243
"12",12,144,1,1,-10.6602368135937,113.640648921897,-1.48866642777302,-4.86814809323368,-2.11337703555441,1.05285021572823
"13",13,169,1,1,-12.4910714775324,156.026866656823,-3.60662308832259,-5.4997983973269,-2.35024636288982,-0.157444053419425
"14",14,196,1,1,-12.0376112516969,144.904084646981,-2.1298627062967,-3.69013005770204,-1.07282250753966,2.92980955312875
"15",15,225,1,1,-13.2198741859756,174.765073493025,-3.23266406814136,-4.8847846673406,-3.01330251547484,2.33096291734747
"16",16,256,1,1,-15.834188924171,250.721538886341,-3.6383858683428,-3.64600969013208,-3.90572575662727,4.12459816153126
"17",17,289,1,1,-16.3470308980905,267.225419183124,-2.54417971825029,-4.04995497053734,-4.56496292037907,1.69949824234939
"18",18,324,1,1,-16.6020856429823,275.629247696918,-4.19623442999917,-4.18804194807601,-2.20378306730667,3.13047322707095
"19",19,361,1,1,-18.3889655089006,338.154052487535,-4.45095644347803,-8.07812506095236,-5.50384208228432,0.815241502566316
"20",20,400,1,1,-19.2306070271879,369.81624663413,-6.08091271053269,-7.03563935057818,-5.89693182042585,2.12867307847379
"21",1,1,2,4,0.452158470638096,0.204447282569782,2.49957519856451,0.701190413607088,-0.31140372182423,0.903182170437353
"22",2,4,2,4,-0.0460399184376001,0.00211967408974087,0.742445993682729,-1.95273343265219,2.08069398166424,1.57181788849953
"23",3,9,2,4,-1.35857732687145,1.84573235308919,1.37706032843836,1.29806199466349,0.267595387647527,2.1882098636356
"24",4,16,2,4,-2.65895455377176,7.0700393190236,2.02195322304373,0.4707799303459,-0.550862518381014,-0.668449628449073
