"","a","p","y1","y2","y3","y4","c"
"1",1,1,-0.948467561592479,0.54114151370285,1.74860572391031,-0.46292661466486,0
"2",2,1,-0.351421948266581,1.04392779945159,0.53233318316521,-0.308269771815561,-1
"3",3,1,-0.566193729019585,-0.697688197693023,1.44284103223408,0.878426982660568,-2
"4",4,1,-0.993537751067308,1.12667550919005,-0.118932828625912,0.666262103121606,-3
"5",5,1,-0.331108692510948,-1.95466557401086,-1.26631634030706,2.43627680913208,-4
"6",6,1,-2.9737303975035,-1.49761285328177,-0.736115510525133,0.506236792901379,-5
"7",7,1,-0.0658555707454713,-1.2476753969122,-0.365064335237122,1.85818409359284,-6
"8",8,1,-1.17868564039811,-1.78156482611181,-0.725510652174205,1.41386306067729,-7
"9",9,1,-1.40606253580837,-2.70715573102757,-2.07940317180826,1.83474396048416,-8
"10",10,1,-2.73674919058837,-3.88010748304193,-0.443245815045142,2.40516185116018,-9
"11",11,1,-4.37259059378412,-2.46929213469518,-1.46200588776986,3.51889904464554,-10
"12",12,1,0.725218696157576,-4.18263272715934,-3.20048567738678,1.68883653226179,-11
"13",13,1,-3.08925918978868,-4.80986273305829,-1.16291655594936,0.777171642830521,-12
"14",14,1,-3.7281328939463,-4.72989342309074,-3.60243298584142,1.61314465958687,-13
"15",15,1,-2.52494519519387,-5.489378448377,-2.72629861262027,2.36413867197077,-14
"16",16,1,-2.29233394913151,-4.95479315061655,-2.79858848136082,3.64512370453558,-15
"17",17,1,-2.39712995509088,-5.76830589160832,-4.22442689034183,2.52917674682809,-16
"18",18,1,-3.58727558775479,-8.78564609743679,-5.894690329988,2.39300980623818,-17
"19",19,1,-4.40010580965419,-6.12824735237383,-4.7644962819486,3.41148898476966,-18
"20",20,1,-4.48563689647849,-7.622817912242,-4.79281089812532,2.23719429673452,-19
"21",1,2,-0.106135512212768,1.51566498372132,-0.326974087483192,0.243897166704975,1
"22",2,2,0.834538356858261,-1.8782613126274,-0.892130887822416,0.982731139498658,0
"23",3,2,0.92809776740918,-0.410008104468873,-1.9071147296046,0.794610315378081,-1
"24",4,2,1.46529214381338,-0.907852600426251,-0.586011750060341,0.286427311479883,-2
"25",5,2,-0.0911507432685421,-0.185447918814962,-1.69610356621998,1.41793231785809,-3
"26",6,2,-0.436515074142058,-3.39239136189971,0.945235536938692,-1.3239130816589,-4
"27",7,2,0.360172173419953,-1.22880924190622,-0.233334892605837,2.50487827319837,-5
"28",8,2,-1.91892072445302,-2.06862253596628,0.837814085545625,1.38251498034356,-6
"29",9,2,-0.2493808890195,-0.467423878613373,0.28265842510149,2.16075435419892,-7
"30",10,2,-0.0727718018983826,-1.57851644388099,-0.892013443679516,1.98825099475325,-8
"31",11,2,-1.84261094297469,-1.82523751737417,-1.44085824423944,-0.0473463982185458,-9
"32",12,2,-1.96820075857178,-3.88804318278069,-0.106114193623348,0.427127104690376,-10
"33",13,2,-2.62185017860546,-5.02067606415934,-0.390742104166609,2.24985858500168,-11
"34",14,2,-1.40642638674241,-5.69521073015788,-1.86195333730082,4.76808409003555,-12
"35",15,2,-2.86603553027465,-3.553186139688,-3.34523724612435,2.62530965174648,-13
"36",16,2,-2.75831593982129,-4.33005435291442,-4.18502813135996,3.37522264672131,-14
"37",17,2,-4.72757182231256,-4.54933912371628,-5.20332688389944,2.83935504066238,-15
"38",18,2,-2.82390611603898,-5.61323760103229,-3.94572719367747,1.49100510290044,-16
"39",19,2,-4.30675030487385,-5.88486023370447,-5.55777692548366,2.93799967359653,-17
"40",20,2,-4.93708129651354,-8.516717234639,-3.19574131520299,1.19121709095,-18
"41",1,3,1.78813134357905,3.32269512144232,-1.68236690215465,1.53677900434167,2
"42",2,3,1.72125544817331,-0.602500045065783,1.43284289571501,1.87096800618897,1
"43",3,3,0.357790995515494,-0.24429986333792,-0.207744151174001,1.24359463530757,0
"44",4,3,0.317342064512299,-0.149035728538508,-0.0727614872611293,1.16854899380611,-1
"45",5,3,1.57667894293241,-0.345115257822376,-0.190033563983827,1.12942783961298,-2
"46",6,3,-0.0534961791782416,0.856561947337434,2.63211207856643,1.65731140848979,-3
"47",7,3,1.93275542867955,-1.5822755221674,0.38458463860337,2.14427948094653,-4
"48",8,3,0.711945692411748,-1.75913217333559,1.23966037469507,2.37903356411165,-5
"49",9,3,-1.85047723753521,-1.32258855507886,0.0101306432041272,3.52507774389087,-6
"50",10,3,0.267030636549942,-2.68337600741623,1.07146144011045,1.47889377148173,-7
"51",11,3,-0.902607717951889,-1.81631422570933,0.245627082413604,4.92197314948379,-8
"52",12,3,-1.3067284147461,-3.49768911662846,-0.357294669811136,2.98716511126638,-9
"53",13,3,-2.29880400300061,-2.96289799760099,-1.51880463526788,2.83811540776602,-10
"54",14,3,-3.12291765616386,-3.30556838476178,-0.422516820628949,1.74171884549802,-11
"55",15,3,-3.15451816269332,-5.11995439355853,-1.8124993382598,3.16299808417754,-12
"56",16,3,-2.22921108781483,-4.21469009313165,-3.32034720287641,1.75554168560667,-13
"57",17,3,-4.16951918891146,-4.77432389838493,-3.11442423379049,3.51135161604401,-14
"58",18,3,-2.30738811327152,-3.89064315591844,-3.40332848815157,2.83928206233457,-15
"59",19,3,-4.44755935748503,-3.11370388584978,-5.65707141638136,3.33603839848477,-16
"60",20,3,-5.52205892814102,-5.16605526455399,-3.12369580001409,1.97070991228969,-17
"61",1,4,2.38864267257961,2.03456811369594,2.3496295903335,1.07955026660542,3
"62",2,4,1.50300529436885,0.471067714530199,0.153152475992883,1.74220224808422,2
"63",3,4,1.43979656627661,1.18110764553487,0.335584061353904,1.97927737406322,1
"64",4,4,-0.146065941292745,1.4029813749245,-0.0510188615573814,0.308649495668758,0
"65",5,4,1.82808241412857,-0.0388688399412847,1.64164901284222,0.427232127126251,-1
"66",6,4,-0.326442197319431,-0.19581045786147,1.94832797868741,0.196745430929664,-2
"67",7,4,0.736888868118943,-0.0776924806588016,-0.320701304819753,2.29358746057615,-3
"68",8,4,1.11799896999465,0.507544207486337,1.63746845852727,2.52053306908844,-4
"69",9,4,1.13302421304759,-2.4988098971841,-0.870667251248496,0.493923954003761,-5
"70",10,4,0.408611911572025,-1.18494561544484,1.65422758656549,0.754106751236632,-6
