"","int","age","period","cohort","y","c.cohort","c.period","age2"
"1",1,29,19,-10,-25.7681257762629,4.8174,-4.1206,11
"2",1,21,25,4,-11.9838277536874,-9.1826,-10.1206,3
"3",1,18,7,-11,-19.0582854374114,5.8174,7.8794,0
"4",1,18,28,10,-6.05377351911059,-15.1826,-13.1206,0
"5",1,15,24,9,-4.30198183347194,-14.1826,-9.1206,-3
"6",1,21,10,-11,-20.7066063099152,5.8174,4.8794,3
"7",1,21,11,-10,-20.3312262068009,4.8174,3.8794,3
"8",1,23,0,-23,-29.1592181157769,17.8174,14.8794,5
"9",1,15,16,1,-9.29889010915781,-6.1826,-1.1206,-3
"10",1,19,26,7,-8.56223258649217,-12.1826,-11.1206,1
"11",1,20,0,-20,-25.3420060665603,14.8174,14.8794,2
"12",1,19,7,-12,-20.0466730655729,6.8174,7.8794,1
"13",1,16,30,14,-2.38484200497492,-19.1826,-15.1206,-2
"14",1,17,27,10,-5.32061526274728,-15.1826,-12.1206,-1
"15",1,19,20,1,-12.16995949124,-6.1826,-5.1206,1
"16",1,26,25,-1,-18.0114113470632,-4.1826,-10.1206,8
"17",1,15,8,-7,-14.468052103785,1.8174,6.8794,-3
"18",1,16,13,-3,-12.2843383604292,-2.1826,1.8794,-2
"19",1,20,8,-12,-20.449226467595,6.8174,6.8794,2
"20",1,18,18,0,-12.237617625674,-5.1826,-3.1206,0
"21",1,18,12,-6,-15.9504162546966,0.8174,2.8794,0
"22",1,22,16,-6,-18.6292745906742,0.8174,-1.1206,4
"23",1,16,10,-6,-14.2215174344823,0.8174,4.8794,-2
"24",1,25,19,-6,-20.6437883237781,0.8174,-4.1206,7
"25",1,21,24,3,-12.2564867982432,-8.1826,-9.1206,3
"26",1,17,22,5,-8.41227951383954,-10.1826,-7.1206,-1
"27",1,24,14,-10,-22.0253408142529,4.8174,0.8794,6
"28",1,31,13,-18,-31.9241372002278,12.8174,1.8794,13
"29",1,17,30,13,-3.57553657035245,-18.1826,-15.1206,-1
"30",1,16,19,3,-8.94124842720007,-8.1826,-4.1206,-2
"31",1,24,24,0,-16.5259742079953,-5.1826,-9.1206,6
"32",1,25,3,-22,-30.1703075742895,16.8174,11.8794,7
