"simnumber","sws.ol1","hapc.ol1","sws.ol2","hapc.ol2","sws.s","hapc.s","sws.d","hapc.d","bf.i05","bf.i01","bf.i001","r.w","r.r2","w.r2","p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
1,0.236111111111111,0.615740740740741,0.37037037037037,0.898148148148148,0.638888888888889,0.768518518518518,0.0245611964671424,-0.0125178177860047,"***","***","***",NA,1.03080618545651,1.29056982527293,3,3,"ar1","ar1",0.2,0.2,0.1,NA,1,94.8941383571123,94.9558970607371,1.02325581395349,0.757281553398058,1,95.8828476457666,0.66507594861907
2,0.236111111111111,0.615740740740741,0.37037037037037,0.893518518518518,0.638888888888889,0.768518518518518,0.0246623530091093,-0.0122396463046381,"***","***","***",NA,1.03080618545651,1.29056982527293,5,3,"ar1","ar1",0.2,0.2,0.1,NA,1,58.0246679766234,58.1222176158651,0.813953488372093,0.805825242718447,1,58.5342257596283,0.871960389153969
3,0.236111111111111,0.611111111111111,0.37037037037037,0.87962962962963,0.638888888888889,0.75,0.024603972174705,-0.0107567541530458,"***","***","***",NA,1.03080618545651,1.29056982527293,10,3,"ar1","ar1",0.2,0.2,0.1,NA,0.946236559139785,98.7802265959749,99.2843245380771,0.581395348837209,0.242718446601942,1,100.944921991155,0.861359106918471
4,0.236111111111111,0.615740740740741,0.37037037037037,0.87962962962963,0.638888888888889,0.768518518518518,0.0246364178375972,-0.0112665532666274,"***","***","***",NA,1.03080618545651,1.29056982527293,3,5,"ar1","ar1",0.2,0.2,0.1,NA,0.903225806451613,66.7362032033045,66.6069162073922,0.627906976744186,0.427184466019418,1,67.2134681248205,0.797519148513974
5,0.236111111111111,0.62037037037037,0.37037037037037,0.884259259259259,0.638888888888889,0.75,0.0245790622310516,-0.0102041019918875,"***","***","***",NA,1.03080618545651,1.29056982527293,5,5,"ar1","ar1",0.2,0.2,0.1,NA,1,68.5717827531773,68.6870019529579,0.697674418604651,0.281553398058252,1,69.3182954939678,0.861558710393429
6,0.241935483870968,0.71505376344086,0.301075268817204,0.854838709677419,0.693548387096774,0.801075268817204,-0.0441299910310767,-0.00947946359850015,"***","***","***",NA,1.00064369304805,1.29056151864238,10,5,"ar1","ar1",0.2,0.2,0.1,NA,0.93010752688172,1.2718263962869,1.26557803395918,0.697674418604651,0.514563106796116,1,1.27002900624939,0.745393210416865
7,0.354838709677419,0.725806451612903,0.629032258064516,0.876344086021505,0.806451612903226,0.795698924731183,-0.0508901185447209,-0.0312732235805873,"***","***","***",NA,1.04185541216,1.25830671134338,3,10,"ar1","ar1",0.2,0.2,0.1,NA,0.989247311827957,92.9712173541982,93.335447501511,0.488372093023256,0.233009708737864,0.983870967741935,93.8691037987775,0.646737952031784
8,0.397849462365591,0.634408602150538,0.666666666666667,0.838709677419355,0.731182795698925,0.795698924731183,0.0756837879483808,0.0160313440510463," "," "," ",NA,1.00055190549184,1.29056983078446,5,10,"ar1","ar1",0.2,0.2,0.1,NA,1,57.4537972572527,57.717644761187,0.558139534883721,0.242718446601942,1,57.7662021752073,0.635979187929709
9,0.274193548387097,0.78494623655914,0.376344086021505,0.946236559139785,0.693548387096774,0.736559139784946,0.0692286637042031,0.0223476713955628," "," "," ",NA,1.01485945450743,1.29057126209059,10,10,"ar1","ar1",0.2,0.2,0.1,NA,0.994623655913978,77.0611807228397,77.1427198105527,0.581395348837209,0.0776699029126213,1,77.210352693824,0.711577894391888
10,0.311827956989247,0.731182795698925,0.67741935483871,0.854838709677419,0.774193548387097,0.763440860215054,0.0492330117524397,-0.00298074690559882,"***","***","***",NA,1.09474750907297,1.29056983051031,3,3,"random","ar1",NA,0.2,0.1,NA,0.849462365591398,94.3771172352717,94.8975412191658,0.674418604651163,0.533980582524272,1,96.2651584619093,0.614145610284069
11,0.28494623655914,0.580645161290323,0.56989247311828,0.752688172043011,0.801075268817204,0.779569892473118,0.0429924335649596,0.00781436097969411,"***","***","***",NA,1.00308023515871,1.26865230768484,5,3,"random","ar1",NA,0.2,0.1,NA,1,66.4519545113085,66.2361950538962,0.604651162790698,0.553398058252427,1,66.9553010861731,0.652158217056927
