"p.blocks","c.blocks","p.type","c.type","p.autocorr","c.autocorr","r2","nsim","ol","rrmse","srmse","p.catch","c.catch"
3,3,"ar1","ar1",0.2,0.2,0.1,NA,1,94.8941383571123,94.9558970607371,1.02325581395349,0.757281553398058
5,3,"ar1","ar1",0.2,0.2,0.1,NA,1,58.0246679766234,58.1222176158651,0.813953488372093,0.805825242718447
10,3,"ar1","ar1",0.2,0.2,0.1,NA,0.946236559139785,98.7802265959749,99.2843245380771,0.581395348837209,0.242718446601942
3,5,"ar1","ar1",0.2,0.2,0.1,NA,0.903225806451613,66.7362032033045,66.6069162073922,0.627906976744186,0.427184466019418
5,5,"ar1","ar1",0.2,0.2,0.1,NA,1,68.5717827531773,68.6870019529579,0.697674418604651,0.281553398058252
10,5,"ar1","ar1",0.2,0.2,0.1,NA,0.93010752688172,1.2718263962869,1.26557803395918,0.697674418604651,0.514563106796116
5,3,"ar1","randomwalk",0.5,NA,0.1,NA,0.983870967741935,1.22596480277647,1.21913314999076,0.604651162790698,0.475728155339806
3,10,"ar1","ar1",0.2,0.2,0.1,NA,0.989247311827957,92.9712173541982,93.335447501511,0.488372093023256,0.233009708737864
10,3,"ar1","randomwalk",0.5,NA,0.1,NA,1,86.3763614080201,86.6729237641158,0.488372093023256,0.271844660194175
5,10,"ar1","ar1",0.2,0.2,0.1,NA,1,57.4537972572527,57.717644761187,0.558139534883721,0.242718446601942
3,5,"ar1","randomwalk",0.5,NA,0.1,NA,0.564516129032258,69.6428357348161,69.8668786498272,0.674418604651163,0.203883495145631
10,10,"ar1","ar1",0.2,0.2,0.1,NA,0.994623655913978,77.0611807228397,77.1427198105527,0.581395348837209,0.0776699029126213
5,5,"ar1","randomwalk",0.5,NA,0.1,NA,1,55.1254581545918,55.1650811570941,0.651162790697674,0.436893203883495
3,3,"random","ar1",NA,0.2,0.1,NA,0.849462365591398,94.3771172352717,94.8975412191658,0.674418604651163,0.533980582524272
10,5,"ar1","randomwalk",0.5,NA,0.1,NA,0.913978494623656,81.805021113939,82.2561562200884,0.674418604651163,0.436893203883495
5,3,"random","ar1",NA,0.2,0.1,NA,1,66.4519545113085,66.2361950538962,0.604651162790698,0.553398058252427
3,10,"ar1","randomwalk",0.5,NA,0.1,NA,1,51.3831305072795,51.1832635938808,0.372093023255814,0.087378640776699
10,3,"random","ar1",NA,0.2,0.1,NA,0.994623655913978,53.9042335697885,53.8473690441606,0.604651162790698,0.436893203883495
5,10,"ar1","randomwalk",0.5,NA,0.1,NA,1,3.85923738704743,3.85501191617331,0.627906976744186,0.213592233009709
10,10,"ar1","randomwalk",0.5,NA,0.1,NA,1,79.9085608233382,79.8147763722621,0.488372093023256,0.242718446601942
3,3,"ar1","ar1",0.8,0.2,0.1,NA,0.688172043010753,101.79393474633,101.789445081169,0.441860465116279,0.252427184466019
3,5,"random","ar1",NA,0.2,0.1,NA,1,1.32605828471415,1.31878696708754,0.534883720930233,0.58252427184466
5,3,"ar1","ar1",0.8,0.2,0.1,NA,1,1.57605948017326,1.568677313179,0.558139534883721,0.339805825242719
5,5,"random","ar1",NA,0.2,0.1,NA,1,13.3652389753625,13.4099630776266,0.697674418604651,0.436893203883495
10,3,"ar1","ar1",0.8,0.2,0.1,NA,1,11.5675585755731,11.525804584587,0.674418604651163,0.543689320388349
10,5,"random","ar1",NA,0.2,0.1,NA,0.994623655913978,21.3561743565432,21.4126687406427,0.720930232558139,0.495145631067961
3,5,"ar1","ar1",0.8,0.2,0.1,NA,0.956989247311828,78.1669302951316,78.549544122267,0.627906976744186,0.543689320388349
3,10,"random","ar1",NA,0.2,0.1,NA,0.983870967741935,35.7411852504952,35.7770384192774,0.604651162790698,0.41747572815534
5,5,"ar1","ar1",0.8,0.2,0.1,NA,0.989247311827957,58.920322099982,58.8305879468266,0.767441860465116,0.563106796116505
5,10,"random","ar1",NA,0.2,0.1,NA,1,48.064321629452,48.3587084882702,0.627906976744186,0.41747572815534
10,5,"ar1","ar1",0.8,0.2,0.1,NA,1,76.1484968573257,76.4980062615545,0.465116279069767,0.087378640776699
10,10,"random","ar1",NA,0.2,0.1,NA,1,50.4945193406475,50.5973277542255,0.697674418604651,0.504854368932039
3,10,"ar1","ar1",0.8,0.2,0.1,NA,1,82.0801863690028,82.242570298119,0.744186046511628,0.41747572815534
3,3,"randomwalk","ar1",NA,0.2,0.1,NA,0.973118279569892,49.4022695027982,49.439963134279,0.651162790697674,0.563106796116505
5,10,"ar1","ar1",0.8,0.2,0.1,NA,0.704301075268817,41.8227417610054,41.7514808514499,0.534883720930233,0.485436893203884
10,10,"ar1","ar1",0.8,0.2,0.1,NA,1,106.406208938937,106.312345467846,0.674418604651163,0.203883495145631
5,3,"randomwalk","ar1",NA,0.2,0.1,NA,0.973118279569892,16.9309466185697,16.9288426839454,0.697674418604651,0.533980582524272
3,3,"ar1","random",0.8,NA,0.1,NA,0.994623655913978,35.5755630442553,35.5973367662365,0.511627906976744,0.611650485436893
10,3,"randomwalk","ar1",NA,0.2,0.1,NA,1,57.8008451159456,57.797100044546,0.511627906976744,0.0970873786407767
5,3,"ar1","random",0.8,NA,0.1,NA,0.994623655913978,50.6050234162388,50.6411875721923,0.488372093023256,0.174757281553398
3,5,"randomwalk","ar1",NA,0.2,0.1,NA,1,15.122064694392,15.1473998236684,0.395348837209302,0.135922330097087
10,3,"ar1","random",0.8,NA,0.1,NA,0.758064516129032,69.3098408138446,68.967180642854,0.651162790697674,0.485436893203884
5,5,"randomwalk","ar1",NA,0.2,0.1,NA,0.994623655913978,42.3720178013408,42.6466026493916,0.558139534883721,0.16504854368932
3,5,"ar1","random",0.8,NA,0.1,NA,0.994623655913978,81.3712800007404,81.0868708719085,0.651162790697674,0.466019417475728
10,5,"randomwalk","ar1",NA,0.2,0.1,NA,1,39.3981155423473,39.308600814382,0.534883720930233,0.087378640776699
5,5,"ar1","random",0.8,NA,0.1,NA,1,109.642387027678,109.431749259917,0.465116279069767,0.135922330097087
3,10,"randomwalk","ar1",NA,0.2,0.1,NA,1,61.621451627699,61.4329818937963,0.581395348837209,0.233009708737864
5,10,"randomwalk","ar1",NA,0.2,0.1,NA,0.973118279569892,76.693701430908,76.575324138876,0.581395348837209,0.485436893203884
10,5,"ar1","random",0.8,NA,0.1,NA,1,66.2395288336814,65.9888046599829,0.558139534883721,0.194174757281553
10,10,"randomwalk","ar1",NA,0.2,0.1,NA,1,70.3662616769614,70.2185740590764,0.511627906976744,0.106796116504854
3,10,"ar1","random",0.8,NA,0.1,NA,0.967741935483871,37.0109186734591,36.9270756901277,0.581395348837209,0.485436893203884
3,3,"ar1","random",0.2,NA,0.1,NA,1,60.8950833035469,60.9301887214043,0.604651162790698,0.485436893203884
5,10,"ar1","random",0.8,NA,0.1,NA,1,0.316847372121418,0.316361497259914,0.767441860465116,0.485436893203884
5,3,"ar1","random",0.2,NA,0.1,NA,1,25.7107846030963,25.7600018763511,0.581395348837209,0.504854368932039
10,10,"ar1","random",0.8,NA,0.1,NA,1,70.184496237093,69.907681806954,0.767441860465116,0.514563106796116
10,3,"ar1","random",0.2,NA,0.1,NA,0.978494623655914,67.4789052948564,67.9762397762007,0.627906976744186,0.524271844660194
3,3,"ar1","randomwalk",0.8,NA,0.1,NA,0.913978494623656,17.768757998378,17.8977236333646,0.651162790697674,0.233009708737864
3,5,"ar1","random",0.2,NA,0.1,NA,1,24.1305543422042,24.1176103907645,0.395348837209302,0.271844660194175
5,3,"ar1","randomwalk",0.8,NA,0.1,NA,1,4.91712639946394,4.90913105180225,0.511627906976744,0.223300970873786
5,5,"ar1","random",0.2,NA,0.1,NA,0.940860215053763,12.576327207585,12.5571499318903,0.581395348837209,0.485436893203884
10,3,"ar1","randomwalk",0.8,NA,0.1,NA,1,57.8982153398031,57.7620809483139,0.558139534883721,0.213592233009709
10,5,"ar1","random",0.2,NA,0.1,NA,1,103.166835953066,103.412737764943,0.604651162790698,0.242718446601942
3,5,"ar1","randomwalk",0.8,NA,0.1,NA,1,58.1478509908018,58.3757863265206,0.581395348837209,0.514563106796116
3,10,"ar1","random",0.2,NA,0.1,NA,0.994623655913978,76.1262275719243,76.4495524230384,0.395348837209302,0.0485436893203883
5,5,"ar1","randomwalk",0.8,NA,0.1,NA,1,49.0892956035317,49.3244790270503,0.604651162790698,0.495145631067961
5,10,"ar1","random",0.2,NA,0.1,NA,1,134.699887231216,134.604289304976,0.558139534883721,0.446601941747573
10,5,"ar1","randomwalk",0.8,NA,0.1,NA,1,145.641076403613,145.647007695308,0.674418604651163,0.184466019417476
10,10,"ar1","random",0.2,NA,0.1,NA,0.994623655913978,64.8485837525832,64.7855494944514,0.534883720930233,0.262135922330097
3,10,"ar1","randomwalk",0.8,NA,0.1,NA,1,7.28411171823041,7.29362753918559,0.627906976744186,0.427184466019418
3,3,"random","random",NA,NA,0.1,NA,1,57.6704669657976,57.7595795211309,0.558139534883721,0.475728155339806
5,10,"ar1","randomwalk",0.8,NA,0.1,NA,1,24.6768379757578,24.5949879748004,0.604651162790698,0.233009708737864
5,3,"random","random",NA,NA,0.1,NA,0.978494623655914,110.914231385827,111.382615330782,0.581395348837209,0.330097087378641
10,10,"ar1","randomwalk",0.8,NA,0.1,NA,1,112.454564582134,111.676299029103,0.581395348837209,0.281553398058252
10,3,"random","random",NA,NA,0.1,NA,1,71.4736743387153,71.3708820059694,0.720930232558139,0.553398058252427
3,3,"ar1","ar1",0.2,0.5,0.1,NA,1,86.6965925469467,87.0867770646052,0.488372093023256,0.213592233009709
3,5,"random","random",NA,NA,0.1,NA,0.93010752688172,42.3188420734351,42.3515229746707,0.465116279069767,0.466019417475728
5,3,"ar1","ar1",0.2,0.5,0.1,NA,0.940860215053763,74.4293397933718,74.725522902379,0.511627906976744,0.281553398058252
5,5,"random","random",NA,NA,0.1,NA,1,20.3261855612677,20.3692576592203,0.697674418604651,0.446601941747573
10,3,"ar1","ar1",0.2,0.5,0.1,NA,0.973118279569892,96.067805374998,96.3056828255339,0.674418604651163,0.504854368932039
10,5,"random","random",NA,NA,0.1,NA,1,58.9004851469715,58.9172018919129,0.674418604651163,0.242718446601942
3,5,"ar1","ar1",0.2,0.5,0.1,NA,1,66.0371055506025,65.9997479227335,0.534883720930233,0.553398058252427
3,10,"random","random",NA,NA,0.1,NA,1,16.2320146041811,16.2315352017814,0.604651162790698,0.145631067961165
5,5,"ar1","ar1",0.2,0.5,0.1,NA,1,96.9271045403123,96.9781188082671,0.651162790697674,0.514563106796116
5,10,"random","random",NA,NA,0.1,NA,0.994623655913978,36.1441279433874,36.1667904724713,0.651162790697674,0.446601941747573
