"p.blocks","c.blocks","p.type","c.type","hetvar","useGSS","p.autocorr","c.autocorr","r2","simnumber","ol","rrmse","srmse","p.catch","c.catch","hol","hrmse","efficiency"
3,3,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,1,1,50.8321302758762,51.0609504057009,0.534883720930233,0.517543859649123,0.986111111111111,51.3957326585455,0.977729812259036
5,3,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,2,1,52.4293728889364,52.0912046001525,0.441860465116279,0.280701754385965,0.99537037037037,52.340649534408,0.80873190728994
10,3,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,3,0.990740740740741,100.590414239739,100.456060311403,0.441860465116279,0.236842105263158,1,101.09378751673,0.881064565198929
3,5,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,4,1,39.9056005252217,39.8061690022039,0.697674418604651,0.464912280701754,1,39.993196678108,0.930103332378998
5,5,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,5,1,85.368425798778,85.4125495748722,0.488372093023256,0.245614035087719,1,86.1656254604708,0.860129697071226
10,5,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,6,0.976851851851852,127.228842475309,127.280914345098,0.604651162790698,0.456140350877193,1,127.790105308857,0.602763757861567
3,10,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,7,1,17.8742060929404,17.9675109815701,0.372093023255814,0.0964912280701754,1,18.0969420247329,0.723296131686446
5,10,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,8,1,206.731863348216,206.454228877856,0.558139534883721,0.473684210526316,1,207.494897834124,0.672005112775539
10,10,"ar1","ar1",TRUE,TRUE,0.5,0.5,0.1,9,1,3.87644763996569,3.88623364541351,0.465116279069767,0.254385964912281,1,3.89780430145284,0.976674217456095
3,3,"random","ar1",TRUE,TRUE,NA,0.5,0.1,10,1,128.662914284206,128.483841302291,0.674418604651163,0.473684210526316,1,129.598347637399,0.987829061912424
5,3,"random","ar1",TRUE,TRUE,NA,0.5,0.1,11,1,60.9869586770651,61.1377260258365,0.674418604651163,0.473684210526316,1,61.4778915468591,0.654116735292013
10,3,"random","ar1",TRUE,TRUE,NA,0.5,0.1,12,0.99537037037037,72.0469681997246,71.9648005242415,0.720930232558139,0.517543859649123,0.962962962962963,72.8013205219961,0.622998137340359
3,5,"random","ar1",TRUE,TRUE,NA,0.5,0.1,13,1,15.6692700356538,15.6860414161767,0.418604651162791,0.245614035087719,1,15.8421430105175,0.663004783419404
5,5,"random","ar1",TRUE,TRUE,NA,0.5,0.1,14,1,67.2278618558894,67.1894483056532,0.511627906976744,0.0877192982456141,0.861111111111111,68.0057643929122,0.815753715302443
10,5,"random","ar1",TRUE,TRUE,NA,0.5,0.1,15,1,124.408213112569,123.987397234596,0.511627906976744,0.219298245614035,0.990740740740741,124.925630433668,0.798195725788052
3,10,"random","ar1",TRUE,TRUE,NA,0.5,0.1,16,0.865740740740741,61.3047851948121,61.3747843239471,0.488372093023256,0.403508771929824,1,61.8716917046308,0.724074325692985
5,10,"random","ar1",TRUE,TRUE,NA,0.5,0.1,17,0.972222222222222,165.475550297427,165.915757865272,0.674418604651163,0.394736842105263,1,168.036410945059,0.843050888116246
10,10,"random","ar1",TRUE,TRUE,NA,0.5,0.1,18,1,51.1248017957824,51.181345877294,0.604651162790698,0.421052631578947,1,51.4897762621784,0.576223207830014
3,3,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,19,0.99537037037037,173.02118497568,173.603545611283,0.534883720930233,0.535087719298246,1,173.981672346415,0.683938828784303
5,3,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,20,1,130.213661977758,130.355154275653,0.348837209302326,0.131578947368421,1,130.799863365198,0.930956923481662
10,3,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,21,0.986111111111111,28.7082435789028,28.676843616827,0.651162790697674,0.508771929824561,1,28.826838851165,0.781464415141938
3,5,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,22,0.99537037037037,71.6018118073899,71.4491196617721,0.511627906976744,0.429824561403509,1,71.7101016610553,0.679229832241018
5,5,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,23,1,137.147711243404,136.985652929793,0.627906976744186,0.482456140350877,1,137.74858412657,0.653076683156016
10,5,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,24,0.949074074074074,75.840300433014,76.1944575128687,0.558139534883721,0.429824561403509,1,76.3846436608965,0.648012575179036
3,10,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,25,1,44.8058721667985,44.756268590874,0.534883720930233,0.508771929824561,1,44.7842384053322,0.658138160978634
5,10,"randomwalk","ar1",TRUE,TRUE,NA,0.5,0.1,26,1,122.181499429898,121.950874413743,0.534883720930233,0.543859649122807,1,122.122020406616,0.594592744270833
